candidate_id,rank,score,reasoning
CAND_0077337,12,0.6251,"Candidate has 7.0 years of experience, currently working as Staff Machine Learning Engineer. Demonstrated experience shipping ranking/search systems at a product company. Shows strong understanding of evaluation metrics (NDCG/MRR/MAP). Listed skills include: GANs, Semantic Search, QLoRA."
CAND_0011687,13,0.624,"Candidate has 7.8 years of experience, currently working as Senior NLP Engineer. Demonstrated experience shipping ranking/search systems at a product company. Shows strong understanding of evaluation metrics (NDCG/MRR/MAP). Listed skills include: TensorFlow, OpenSearch, FAISS."
CAND_0008425,14,0.6164,"Candidate has 7.8 years of experience, currently working as Senior NLP Engineer. Demonstrated experience shipping ranking/search systems at a product company. Shows strong understanding of evaluation metrics (NDCG/MRR/MAP). Listed skills include: Learning to Rank, Qdrant, Weights & Biases."
CAND_0010685,15,0.6156,"Candidate has 6.7 years of experience, currently working as NLP Engineer. Demonstrated experience shipping ranking/search systems at a product company. Shows strong understanding of evaluation metrics (NDCG/MRR/MAP). Listed skills include: Prompt Engineering, LlamaIndex, Deep Learning."
CAND_0006557,16,0.6146,"Candidate has 7.9 years of experience, currently working as NLP Engineer. Demonstrated experience shipping ranking/search systems at a product company. Shows strong understanding of evaluation metrics (NDCG/MRR/MAP). Listed skills include: Kubeflow, Data Science, Elasticsearch."
CAND_0018549,17,0.614,"Candidate has 6.8 years of experience, currently working as Recommendation Systems Engineer. Demonstrated experience shipping ranking/search systems at a product company. Shows strong understanding of evaluation metrics (NDCG/MRR/MAP). Listed skills include: Computer Vision, Weaviate, Kubernetes."
CAND_0041669,18,0.6128,"Candidate has 8.0 years of experience, currently working as Recommendation Systems Engineer. Demonstrated experience shipping ranking/search systems at a product company. Shows strong understanding of evaluation metrics (NDCG/MRR/MAP). Listed skills include: FAISS, Milvus, PEFT."
CAND_0046064,19,0.6128,"Candidate has 8.9 years of experience, currently working as Senior NLP Engineer. Demonstrated experience shipping ranking/search systems at a product company. Shows strong understanding of evaluation metrics (NDCG/MRR/MAP). Listed skills include: Python, Image Classification, OpenCV."
CAND_0031593,20,0.6117,"Candidate has 7.8 years of experience, currently working as Search Engineer. Demonstrated experience shipping ranking/search systems at a product company. Shows strong understanding of evaluation metrics (NDCG/MRR/MAP). Listed skills include: Haystack, OpenCV, Hugging Face Transformers."
CAND_0050876,21,0.6105,"Candidate has 6.0 years of experience, currently working as Applied ML Engineer. Demonstrated experience shipping ranking/search systems at a product company. Shows strong understanding of evaluation metrics (NDCG/MRR/MAP). Listed skills include: SQL, Qdrant, MLOps."
CAND_0065878,22,0.6102,"Candidate has 7.8 years of experience, currently working as Senior Data Scientist. Demonstrated experience shipping ranking/search systems at a product company. Shows strong understanding of evaluation metrics (NDCG/MRR/MAP). Listed skills include: scikit-learn, RAG, Computer Vision."
CAND_0028793,23,0.6092,"Candidate has 7.2 years of experience, currently working as Search Engineer. Demonstrated experience shipping ranking/search systems at a product company. Shows strong understanding of evaluation metrics (NDCG/MRR/MAP). Listed skills include: SAP, Kubeflow, Embeddings."
CAND_0010257,24,0.6088,"Candidate has 6.5 years of experience, currently working as Senior Data Scientist. Demonstrated experience shipping ranking/search systems at a product company. Shows strong understanding of evaluation metrics (NDCG/MRR/MAP). Listed skills include: Milvus, TensorFlow, MLflow."
CAND_0086151,25,0.6086,"Candidate has 7.7 years of experience, currently working as Recommendation Systems Engineer. Demonstrated experience shipping ranking/search systems at a product company. Shows strong understanding of evaluation metrics (NDCG/MRR/MAP). Listed skills include: Figma, LangChain, BentoML."
CAND_0006567,26,0.6069,"Candidate has 7.9 years of experience, currently working as Senior AI Engineer. Demonstrated experience shipping ranking/search systems at a product company. Shows strong understanding of evaluation metrics (NDCG/MRR/MAP). Listed skills include: Speech Recognition, scikit-learn, Search Backend."
CAND_0075574,27,0.6067,"Candidate has 5.7 years of experience, currently working as Machine Learning Engineer. Demonstrated experience shipping ranking/search systems at a product company. Shows strong understanding of evaluation metrics (NDCG/MRR/MAP). Listed skills include: Hugging Face Transformers, pgvector, Weaviate."
CAND_0049896,28,0.6039,"Candidate has 7.3 years of experience, currently working as Search Engineer. Demonstrated experience shipping ranking/search systems at a product company. Shows strong understanding of evaluation metrics (NDCG/MRR/MAP). Listed skills include: PostgreSQL, LangChain, LlamaIndex."
CAND_0079387,29,0.6032,"Candidate has 6.9 years of experience, currently working as AI Engineer. Demonstrated experience shipping ranking/search systems at a product company. Shows strong understanding of evaluation metrics (NDCG/MRR/MAP). Listed skills include: scikit-learn, Recommendation Systems, Python."
CAND_0052682,30,0.6024,"Candidate has 6.6 years of experience, currently working as NLP Engineer. Demonstrated experience shipping ranking/search systems at a product company. Shows strong understanding of evaluation metrics (NDCG/MRR/MAP). Listed skills include: Statistical Modeling, QLoRA, Semantic Search."
CAND_0068811,31,0.6018,"Candidate has 8.0 years of experience, currently working as Applied ML Engineer. Demonstrated experience shipping ranking/search systems at a product company. Shows strong understanding of evaluation metrics (NDCG/MRR/MAP). Listed skills include: Data Science, Vector Search, Speech Recognition."
CAND_0011432,32,0.6011,"Candidate has 7.6 years of experience, currently working as Senior Data Scientist. Demonstrated experience shipping ranking/search systems at a product company. Shows strong understanding of evaluation metrics (NDCG/MRR/MAP). Listed skills include: Haystack, MLOps, Time Series."
CAND_0083879,33,0.5995,"Candidate has 7.1 years of experience, currently working as Machine Learning Engineer. Demonstrated experience shipping ranking/search systems at a product company. Shows strong understanding of evaluation metrics (NDCG/MRR/MAP). Listed skills include: MLOps, Fine-tuning LLMs, Milvus."
CAND_0058688,34,0.5988,"Candidate has 6.7 years of experience, currently working as AI Engineer. Demonstrated experience shipping ranking/search systems at a product company. Shows strong understanding of evaluation metrics (NDCG/MRR/MAP). Listed skills include: OpenCV, CNN, scikit-learn."
CAND_0037980,35,0.5976,"Candidate has 9.0 years of experience, currently working as Senior Applied Scientist. Demonstrated experience shipping ranking/search systems at a product company. Shows strong understanding of evaluation metrics (NDCG/MRR/MAP). Listed skills include: LoRA, Search Infrastructure, PyTorch."
CAND_0009691,36,0.5971,"Candidate has 6.2 years of experience, currently working as Applied ML Engineer. Demonstrated experience shipping ranking/search systems at a product company. Shows strong understanding of evaluation metrics (NDCG/MRR/MAP). Listed skills include: BentoML, Prompt Engineering, Recommendation Systems."
CAND_0009236,37,0.5969,"Candidate has 6.3 years of experience, currently working as AI Specialist. Demonstrated experience shipping ranking/search systems at a product company. Listed skills include: Learning to Rank, Speech Recognition, Apache Beam."
CAND_0075249,38,0.5965,"Candidate has 6.2 years of experience, currently working as Applied ML Engineer. Demonstrated experience shipping ranking/search systems at a product company. Shows strong understanding of evaluation metrics (NDCG/MRR/MAP). Listed skills include: Sentence Transformers, Milvus, Machine Learning."
CAND_0005649,39,0.5956,"Candidate has 7.4 years of experience, currently working as Senior Data Scientist. Demonstrated experience shipping ranking/search systems at a product company. Shows strong understanding of evaluation metrics (NDCG/MRR/MAP). Listed skills include: Haystack, Redis, Prompt Engineering."
CAND_0066035,40,0.5952,"Candidate has 6.7 years of experience, currently working as Data Scientist. Demonstrated experience shipping ranking/search systems at a product company. Listed skills include: Statistical Modeling, PostgreSQL, Information Retrieval."
CAND_0039383,41,0.5944,"Candidate has 7.1 years of experience, currently working as Applied ML Engineer. Demonstrated experience shipping ranking/search systems at a product company. Shows strong understanding of evaluation metrics (NDCG/MRR/MAP). Listed skills include: GANs, FAISS, ASR."
CAND_0053591,42,0.5942,"Candidate has 5.3 years of experience, currently working as AI Engineer. Demonstrated experience shipping ranking/search systems at a product company. Shows strong understanding of evaluation metrics (NDCG/MRR/MAP). Listed skills include: LangChain, Reinforcement Learning, Embeddings."
CAND_0074225,43,0.5906,"Candidate has 4.3 years of experience, currently working as Machine Learning Engineer. Demonstrated experience shipping ranking/search systems at a product company. Shows strong understanding of evaluation metrics (NDCG/MRR/MAP). Listed skills include: Apache Beam, Statistical Modeling, Recommendation Systems."
CAND_0006418,44,0.59,"Candidate has 5.7 years of experience, currently working as Machine Learning Engineer. Demonstrated experience shipping ranking/search systems at a product company. Shows strong understanding of evaluation metrics (NDCG/MRR/MAP). Listed skills include: Kubernetes, gRPC, Semantic Search."
CAND_0099806,45,0.59,"Candidate has 4.6 years of experience, currently working as AI Engineer. Demonstrated experience shipping ranking/search systems at a product company. Shows strong understanding of evaluation metrics (NDCG/MRR/MAP). Listed skills include: LoRA, OpenCV, Statistical Modeling."
CAND_0040117,46,0.5896,"Candidate has 6.5 years of experience, currently working as Recommendation Systems Engineer. Demonstrated experience shipping ranking/search systems at a product company. Shows strong understanding of evaluation metrics (NDCG/MRR/MAP). Listed skills include: OpenCV, LlamaIndex, Embeddings."
CAND_0017960,47,0.5861,"Candidate has 7.7 years of experience, currently working as Recommendation Systems Engineer. Demonstrated experience shipping ranking/search systems at a product company. Shows strong understanding of evaluation metrics (NDCG/MRR/MAP). Listed skills include: LlamaIndex, QLoRA, Hugging Face Transformers."
CAND_0078002,48,0.5854,"Candidate has 6.3 years of experience, currently working as Machine Learning Engineer. Demonstrated experience shipping ranking/search systems at a product company. Shows strong understanding of evaluation metrics (NDCG/MRR/MAP). Listed skills include: Statistical Modeling, pgvector, Flask."
CAND_0070485,49,0.5837,"Candidate has 6.4 years of experience, currently working as Search Engineer. Demonstrated experience shipping ranking/search systems at a product company. Listed skills include: Kubernetes, Haystack, PEFT."
CAND_0060054,50,0.5835,"Candidate has 6.4 years of experience, currently working as AI Engineer. Demonstrated experience shipping ranking/search systems at a product company. Shows strong understanding of evaluation metrics (NDCG/MRR/MAP). Noted availability concerns (Penalty: -0.50). Listed skills include: Diffusion Models, TensorFlow, Weaviate."
CAND_0050454,51,0.5815,"Candidate has 6.8 years of experience, currently working as AI Engineer. Demonstrated experience shipping ranking/search systems at a product company. Listed skills include: PyTorch, LangChain, QLoRA."
CAND_0011327,52,0.5813,"Candidate has 6.3 years of experience, currently working as AI Research Engineer. Demonstrated experience shipping ranking/search systems at a product company. Listed skills include: Time Series, Sales, Weights & Biases."
CAND_0080766,53,0.5781,"Candidate has 8.8 years of experience, currently working as Staff Machine Learning Engineer. Demonstrated experience shipping ranking/search systems at a product company. Shows strong understanding of evaluation metrics (NDCG/MRR/MAP). Noted availability concerns (Penalty: -0.50). Listed skills include: Search Backend, LoRA, Vue.js."
CAND_0089552,54,0.5739,"Candidate has 6.0 years of experience, currently working as Machine Learning Engineer. Demonstrated experience shipping ranking/search systems at a product company. Shows strong understanding of evaluation metrics (NDCG/MRR/MAP). Noted availability concerns (Penalty: -0.50). Listed skills include: Weaviate, Image Classification, TensorFlow."
CAND_0018013,55,0.5723,"Candidate has 6.7 years of experience, currently working as AI Specialist. Demonstrated experience shipping ranking/search systems at a product company. Listed skills include: Illustrator, Computer Vision, Vector Search."
CAND_0083307,56,0.5695,"Candidate has 7.8 years of experience, currently working as Search Engineer. Demonstrated experience shipping ranking/search systems at a product company. Listed skills include: OpenCV, scikit-learn, Embeddings."
CAND_0041402,57,0.5553,"Candidate has 6.3 years of experience, currently working as AI Specialist. Demonstrated experience shipping ranking/search systems at a product company. Listed skills include: Information Retrieval, Forecasting, RAG."
CAND_0039754,58,0.548,"Candidate has 16.2 years of experience, currently working as Senior Applied Scientist. Demonstrated experience shipping ranking/search systems at a product company. Shows strong understanding of evaluation metrics (NDCG/MRR/MAP). Listed skills include: Fine-tuning LLMs, LlamaIndex, Qdrant."
CAND_0032271,59,0.5451,"Candidate has 6.6 years of experience, currently working as AI Research Engineer. Demonstrated experience shipping ranking/search systems at a product company. Listed skills include: LangChain, PEFT, Redux."
CAND_0041568,60,0.5378,"Candidate has 5.2 years of experience, currently working as Search Engineer. Demonstrated experience shipping ranking/search systems at a product company. Shows strong understanding of evaluation metrics (NDCG/MRR/MAP). Listed skills include: PEFT, Weaviate, Angular."
CAND_0024466,61,0.5377,"Candidate has 5.2 years of experience, currently working as Search Engineer. Demonstrated experience shipping ranking/search systems at a product company. Shows strong understanding of evaluation metrics (NDCG/MRR/MAP). Listed skills include: Recommendation Systems, pgvector, Image Classification."
CAND_0064904,62,0.536,"Candidate has 4.9 years of experience, currently working as AI Engineer. Demonstrated experience shipping ranking/search systems at a product company. Shows strong understanding of evaluation metrics (NDCG/MRR/MAP). Listed skills include: Embeddings, Hugging Face Transformers, Elasticsearch."
CAND_0086022,63,0.5354,"Candidate has 5.3 years of experience, currently working as Senior Applied Scientist. Demonstrated experience shipping ranking/search systems at a product company. Shows strong understanding of evaluation metrics (NDCG/MRR/MAP). Listed skills include: Vector Search, MLflow, Recommendation Systems."
CAND_0030348,64,0.5346,"Candidate has 4.5 years of experience, currently working as Machine Learning Engineer. Demonstrated experience shipping ranking/search systems at a product company. Shows strong understanding of evaluation metrics (NDCG/MRR/MAP). Listed skills include: LlamaIndex, Deep Learning, TTS."
CAND_0026532,65,0.5334,"Candidate has 4.8 years of experience, currently working as Recommendation Systems Engineer. Demonstrated experience shipping ranking/search systems at a product company. Shows strong understanding of evaluation metrics (NDCG/MRR/MAP). Listed skills include: Prompt Engineering, Time Series, pgvector."
CAND_0007411,66,0.5328,"Candidate has 8.0 years of experience, currently working as Senior Machine Learning Engineer. Demonstrated experience shipping ranking/search systems at a product company. Shows strong understanding of evaluation metrics (NDCG/MRR/MAP). Noted availability concerns (Penalty: -0.80). Listed skills include: OpenSearch, Prompt Engineering, Fine-tuning LLMs."
CAND_0013613,67,0.5325,"Candidate has 4.7 years of experience, currently working as Machine Learning Engineer. Demonstrated experience shipping ranking/search systems at a product company. Shows strong understanding of evaluation metrics (NDCG/MRR/MAP). Listed skills include: Speech Recognition, LoRA, Computer Vision."
CAND_0061175,68,0.531,"Candidate has 6.7 years of experience, currently working as AI Research Engineer. Demonstrated experience shipping ranking/search systems at a product company. Listed skills include: Python, Milvus, Recommendation Systems."
CAND_0016170,69,0.5306,"Candidate has 6.8 years of experience, currently working as AI Research Engineer. Demonstrated experience shipping ranking/search systems at a product company. Listed skills include: Sentence Transformers, Reinforcement Learning, Time Series."
CAND_0001610,70,0.5295,"Candidate has 3.0 years of experience, currently working as Machine Learning Engineer. Demonstrated experience shipping ranking/search systems at a product company. Shows strong understanding of evaluation metrics (NDCG/MRR/MAP). Listed skills include: Speech Recognition, Haystack, Deep Learning."
CAND_0081053,71,0.5288,"Candidate has 5.4 years of experience, currently working as NLP Engineer. Demonstrated experience shipping ranking/search systems at a product company. Shows strong understanding of evaluation metrics (NDCG/MRR/MAP). Listed skills include: LoRA, QLoRA, Qdrant."
CAND_0096104,72,0.5275,"Candidate has 7.0 years of experience, currently working as AI Specialist. Demonstrated experience shipping ranking/search systems at a product company. Listed skills include: BM25, TTS, Hugging Face Transformers."
CAND_0039838,73,0.5269,"Candidate has 4.9 years of experience, currently working as Recommendation Systems Engineer. Demonstrated experience shipping ranking/search systems at a product company. Shows strong understanding of evaluation metrics (NDCG/MRR/MAP). Listed skills include: MLOps, Computer Vision, Embeddings."
CAND_0001930,74,0.5259,"Candidate has 6.9 years of experience, currently working as Senior Software Engineer (ML). Demonstrated experience shipping ranking/search systems at a product company. Listed skills include: Machine Learning, GraphQL, Webpack."
CAND_0024878,75,0.5257,"Candidate has 5.7 years of experience, currently working as AI Specialist. Demonstrated experience shipping ranking/search systems at a product company. Listed skills include: BM25, pgvector, Databricks."
CAND_0069638,76,0.5255,"Candidate has 6.2 years of experience, currently working as Computer Vision Engineer. Demonstrated experience shipping ranking/search systems at a product company. Listed skills include: Time Series, Hadoop, Semantic Search."
CAND_0049978,77,0.5243,"Candidate has 6.6 years of experience, currently working as Senior Software Engineer (ML). Demonstrated experience shipping ranking/search systems at a product company. Listed skills include: Deep Learning, Weaviate, BM25."
CAND_0019480,78,0.5238,"Candidate has 2.8 years of experience, currently working as NLP Engineer. Demonstrated experience shipping ranking/search systems at a product company. Shows strong understanding of evaluation metrics (NDCG/MRR/MAP). Listed skills include: Terraform, LLMs, Forecasting."
CAND_0042506,79,0.5236,"Candidate has 4.2 years of experience, currently working as Search Engineer. Demonstrated experience shipping ranking/search systems at a product company. Shows strong understanding of evaluation metrics (NDCG/MRR/MAP). Listed skills include: PEFT, TTS, scikit-learn."
CAND_0076831,80,0.5233,"Candidate has 4.0 years of experience, currently working as Search Engineer. Demonstrated experience shipping ranking/search systems at a product company. Shows strong understanding of evaluation metrics (NDCG/MRR/MAP). Listed skills include: LLMs, MLOps, Milvus."
CAND_0010541,81,0.5226,"Candidate has 6.2 years of experience, currently working as AI Research Engineer. Demonstrated experience shipping ranking/search systems at a product company. Listed skills include: Pinecone, GANs, Weaviate."
CAND_0095528,82,0.5223,"Candidate has 5.3 years of experience, currently working as Senior Data Scientist. Demonstrated experience shipping ranking/search systems at a product company. Shows strong understanding of evaluation metrics (NDCG/MRR/MAP). Listed skills include: Feature Engineering, OpenSearch, PyTorch."
CAND_0011162,83,0.5216,"Candidate has 5.8 years of experience, currently working as Recommendation Systems Engineer. Demonstrated experience shipping ranking/search systems at a product company. Shows strong understanding of evaluation metrics (NDCG/MRR/MAP). Listed skills include: Weights & Biases, FAISS, Vector Search."
CAND_0009024,84,0.5207,"Candidate has 5.2 years of experience, currently working as Search Engineer. Demonstrated experience shipping ranking/search systems at a product company. Shows strong understanding of evaluation metrics (NDCG/MRR/MAP). Listed skills include: YOLO, Qdrant, dbt."
CAND_0033987,85,0.5206,"Candidate has 6.8 years of experience, currently working as ML Engineer. Demonstrated experience shipping ranking/search systems at a product company. Listed skills include: Recommendation Systems, Feature Engineering, PEFT."
CAND_0053695,86,0.5203,"Candidate has 5.8 years of experience, currently working as Recommendation Systems Engineer. Demonstrated experience shipping ranking/search systems at a product company. Shows strong understanding of evaluation metrics (NDCG/MRR/MAP). Listed skills include: MLOps, Apache Flink, GCP."
CAND_0060835,87,0.5184,"Candidate has 6.6 years of experience, currently working as Senior Software Engineer (ML). Demonstrated experience shipping ranking/search systems at a product company. Listed skills include: SQL, Flask, Reinforcement Learning."
CAND_0066376,88,0.518,"Candidate has 5.7 years of experience, currently working as Applied ML Engineer. Demonstrated experience shipping ranking/search systems at a product company. Shows strong understanding of evaluation metrics (NDCG/MRR/MAP). Listed skills include: Recommendation Systems, LoRA, Learning to Rank."
CAND_0013536,89,0.5179,"Candidate has 14.1 years of experience, currently working as Applied ML Engineer. Demonstrated experience shipping ranking/search systems at a product company. Shows strong understanding of evaluation metrics (NDCG/MRR/MAP). Listed skills include: PyTorch, Prompt Engineering, LLMs."
CAND_0074123,90,0.5164,"Candidate has 6.9 years of experience, currently working as Data Scientist. Demonstrated experience shipping ranking/search systems at a product company. Listed skills include: Object Detection, pgvector, NLP."
CAND_0045862,91,0.5156,"Candidate has 6.7 years of experience, currently working as AI Specialist. Demonstrated experience shipping ranking/search systems at a product company. Listed skills include: NLP, Feature Engineering, MLflow."
CAND_0093547,92,0.5153,"Candidate has 2.9 years of experience, currently working as Senior Machine Learning Engineer. Demonstrated experience shipping ranking/search systems at a product company. Shows strong understanding of evaluation metrics (NDCG/MRR/MAP). Noted availability concerns (Penalty: -0.50). Listed skills include: LLMs, RAG, Python."
CAND_0040887,93,0.5151,"Candidate has 4.7 years of experience, currently working as Machine Learning Engineer. Demonstrated experience shipping ranking/search systems at a product company. Listed skills include: Reinforcement Learning, Computer Vision, SEO."
CAND_0067866,94,0.5148,"Candidate has 6.4 years of experience, currently working as Senior Software Engineer (ML). Demonstrated experience shipping ranking/search systems at a product company. Listed skills include: Embeddings, Illustrator, pgvector."
CAND_0057701,95,0.5147,"Candidate has 4.1 years of experience, currently working as Recommendation Systems Engineer. Demonstrated experience shipping ranking/search systems at a product company. Shows strong understanding of evaluation metrics (NDCG/MRR/MAP). Listed skills include: Deep Learning, Prompt Engineering, OpenSearch."
CAND_0001494,96,0.5145,"Candidate has 6.4 years of experience, currently working as Data Scientist. Demonstrated experience shipping ranking/search systems at a product company. Listed skills include: MLflow, Sales, CNN."
CAND_0096332,97,0.5144,"Candidate has 7.5 years of experience, currently working as Marketing Manager. Demonstrated experience shipping ranking/search systems at a product company. Listed skills include: Figma, Rust, FastAPI."
CAND_0004402,98,0.5143,"Candidate has 6.0 years of experience, currently working as AI Research Engineer. Demonstrated experience shipping ranking/search systems at a product company. Listed skills include: TypeScript, TTS, OpenSearch."
CAND_0010770,99,0.5142,"Candidate has 15.2 years of experience, currently working as Recommendation Systems Engineer. Demonstrated experience shipping ranking/search systems at a product company. Shows strong understanding of evaluation metrics (NDCG/MRR/MAP). Listed skills include: Haystack, YOLO, Qdrant."
CAND_0051486,100,0.5141,"Candidate has 5.9 years of experience, currently working as AI Specialist. Demonstrated experience shipping ranking/search systems at a product company. Listed skills include: Fine-tuning LLMs, Microservices, Tally."
